X,Y,Z,Roll,Pitch,Yaw,Vx,Vy,Vz,Wx,Wy,Wz,Avg_m1,Avg_m2,Avg_m3,Avg_m4,Delta_m1,Delta_m2,Delta_m3,Delta_m4,Act_m1,Act_m2,Act_m3,Act_m4
-17.88866006285432,-11.310810047610975,-16.993029609156054,0.003043344036247101,0.00390036649591592,-0.03703489631586125,-321.99588113137776,-203.59458085699754,-323.87453296480896,-0.05478019265244782,-0.07020659692648656,0.6666281336855026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,0.9609587788581848
-17.88866006285432,-11.310810047610975,-16.993029609156054,0.003043344036247101,0.00390036649591592,-0.03703489631586125,-321.99588113137776,-203.59458085699754,-323.87453296480896,-0.05478019265244782,-0.07020659692648656,0.6666281336855026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,0.9243292212486267
-17.92304033222604,-11.311884894523324,-17.010849231290894,0.003464509389514361,0.0036883382319666527,-0.03682845435030843,-215.2827656029428,-135.749067815754,-216.23710850829974,-0.044101104793775894,-0.042987889199904226,0.4407028004103843,-0.2,-0.2,0.2,0.19219175577163697,-1.0,-1.0,1.0,0.9609587788581848,-1.0,-1.0,1.0,0.9059560894966125
-17.92304033222604,-11.311884894523324,-17.010849231290894,0.003464509389514361,0.0036883382319666527,-0.03682845435030843,-215.2827656029428,-135.749067815754,-216.23710850829974,-0.044101104793775894,-0.042987889199904226,0.4407028004103843,-0.2,-0.2,0.2,0.19219175577163697,-1.0,-1.0,1.0,0.9609587788581848,-1.0,-1.0,1.0,0.9032008647918701
-17.883041474787138,-11.310090423815966,-17.00231243048712,0.003396740971012551,0.002452526527431652,-0.03738417677267125,-214.35650455281225,-135.71031826154746,-215.9765283610228,-0.040354281141139745,-0.02201544810196982,0.4519444558062319,-0.4,-0.4,0.4,0.3770576000213623,0.0,0.0,0.0,-0.036629557609558105,-1.0,-1.0,1.0,0.8938446640968323
-17.883041474787138,-11.310090423815966,-17.00231243048712,0.003396740971012551,0.002452526527431652,-0.03738417677267125,-214.35650455281225,-135.71031826154746,-215.9765283610228,-0.040354281141139745,-0.02201544810196982,0.4519444558062319,-0.4,-0.4,0.4,0.3770576000213623,0.0,0.0,0.0,-0.036629557609558105,-1.0,-1.0,1.0,0.8977587223052979
-18.105615936185707,-11.189453890557724,-17.22696461419746,0.014887960412290374,-0.020295420649376554,-0.05695338510019078,-218.60283800261988,-133.54962748714325,-220.07148847263156,-0.24760284159515145,0.38003273085336786,0.8008558711674066,-0.6,-0.6,0.6,0.5582488179206848,0.0,0.0,0.0,-0.01837313175201416,-1.0,-1.0,1.0,0.8870484232902527
-18.105615936185707,-11.189453890557724,-17.22696461419746,0.014887960412290374,-0.020295420649376554,-0.05695338510019078,-218.60283800261988,-133.54962748714325,-220.07148847263156,-0.24760284159515145,0.38003273085336786,0.8008558711674066,-0.6,-0.6,0.6,0.5582488179206848,0.0,0.0,0.0,-0.01837313175201416,-1.0,-1.0,1.0,0.8843039870262146
-18.0477597906654,-11.275272273392583,-17.127875340629156,-0.0012727223517269206,-0.009055263694369597,-0.04395643497255686,-216.22598061486298,-135.81817757772015,-216.93996844614009,0.1122367648048268,0.041222222602393464,0.4494955189048787,-0.8,-0.8,0.8,0.7388889908790588,0.0,0.0,0.0,-0.0027552247047424316,-1.0,-1.0,1.0,0.8780305981636047
-18.0477597906654,-11.275272273392583,-17.127875340629156,-0.0012727223517269206,-0.009055263694369597,-0.04395643497255686,-216.22598061486298,-135.81817757772015,-216.93996844614009,0.1122367648048268,0.041222222602393464,0.4494955189048787,-0.8,-0.8,0.8,0.7388889908790588,0.0,0.0,0.0,-0.0027552247047424316,-1.0,-1.0,0.3498023450374603,0.705035924911499
