X,Y,Z,Roll,Pitch,Yaw,Vx,Vy,Vz,Wx,Wy,Wz,Avg_m1,Avg_m2,Avg_m3,Avg_m4,Delta_m1,Delta_m2,Delta_m3,Delta_m4,Act_m1,Act_m2,Act_m3,Act_m4
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-125.0089348901133,-18.191791813002947,-355.483527404415,-0.08381729714909783,0.0706400831743659,0.03535358869063552,-2250.1608280220394,-327.452252634053,-6416.703493279469,1.5087113486837609,-1.2715214971385862,-0.6363645964314394,0.2,0.2,0.2,0.2,1.0,1.0,1.0,1.0,-1.0,-1.0,0.19229787588119507,1.0
-125.1722661033844,-18.090522591198667,-355.5552523328436,-0.0831184794500977,0.06951300011679555,0.0339838852666007,-1503.0471805202394,-216.47865576355835,-4279.093377564695,0.9932288472071719,-0.8273935030561244,-0.39958840265499945,0.0,0.0,0.238459575176239,0.4,-2.0,-2.0,-0.8077021241188049,0.0,-1.0,-1.0,0.33374032378196716,1.0
-125.70832741801469,-17.894043944428663,-355.73476614465693,-0.07467396491991254,0.046290999810901325,0.028418260180038284,-1511.7162969039578,-213.54965545252398,-4281.894276606762,0.8454204918578394,-0.4161599958954505,-0.30762537164108494,-0.2,-0.2,0.30520763993263245,0.6,0.0,0.0,0.1414424479007721,0.0,-1.0,-1.0,0.33374032378196716,1.0
-125.74464879824481,-17.76447714958316,-355.6002016160831,-0.06981666950780514,0.03758132719727407,0.031146765776387173,-1509.1537138603185,-212.39632502592494,-4278.395032221554,0.8086562616210173,-0.3987178906855253,-0.3901322228947394,-0.4,-0.4,0.3719557046890259,0.8,0.0,0.0,0.0,0.0,-1.0,-1.0,0.33374032378196716,1.0
-125.7374441414844,-17.700932033967234,-355.92677599388,-0.06810018679778182,0.032404832331293286,0.024243145813828998,-1508.8061017572504,-212.02991371391127,-4285.080758193342,0.8069033453132418,-0.3577990187796347,-0.24949602999059897,-0.6,-0.6,0.43870376944541933,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.33374032378196716,1.0
-125.69083836024629,-17.5985215239398,-356.35572331098126,-0.08533141457848252,0.04797988685862784,0.03324022768024453,-1508.0104256355269,-210.56779522711304,-4290.842363634382,1.1273643416259944,-0.6692089694675415,-0.45286522336142754,-1.0,-1.0,0.30545183420181277,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.33374032378196716,1.0
-125.73208722987775,-17.399964378334943,-356.9818955576956,-0.102519721558589,0.06374399236293672,0.04285345883946275,-1509.0325399763217,-207.60822966639017,-4299.539780172634,1.333366500583707,-0.8595125413810939,-0.5719208930288625,-1.0,-1.0,0.33374032378196716,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.33374032378196716,1.0
-125.71640219273226,-17.534564840489686,-357.14091356021896,-0.08138723646299792,0.04356887450124202,0.0228379446817788,-1508.5027160899142,-211.2223808588047,-4298.645070737768,0.8498519269824285,-0.40177578684473597,-0.15396225123524188,-1.0,-1.0,0.33374032378196716,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.33374032378196716,1.0
-125.70280574677207,-17.512888562522427,-357.78756532121406,-0.07080922072710369,0.0455040834968745,0.025065175708100053,-2258.4056996261834,-319.1753559604832,-6448.231858847029,1.2891463372044658,-0.9815007549824843,-0.5262670267989413,-1.0,-1.0,0.33374032378196716,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.19229787588119507,1.0
-125.667576888121,-17.50303294667782,-357.95268921152075,-0.0773603792297076,0.04338931994328518,0.02923657759639698,-8.672318103812756,8.93185542179485,-31.05103459768111,-0.04236897021106019,0.3464602384399267,0.056593942345289826,-1.0,-1.0,0.30545183420181277,1.0,0.0,0.0,-0.1414424479007721,0.0,-0.9001362919807434,-1.0,-1.0,-1.0
-125.75812079483637,-17.58325315731721,-358.25940623261147,-0.07063506654670228,0.04127568896691641,0.02834296900789425,-10.789887625497585,6.784783823361181,-35.367231794638315,-0.24081991811988795,0.49086152149212764,0.10644639715486823,-0.9800272583961487,-1.0,0.03870376944541931,0.6,0.09986370801925659,0.0,-1.192297875881195,-2.0,-0.9334956407546997,-1.0,-1.0,-1.0
-125.99959616962218,-17.649848718098585,-358.5497317099355,-0.08313216110000834,0.055678838177553966,0.035605515980955106,-5.162005549385441,3.308170120345686,-34.714152475843775,0.14733714900834163,-0.1468149199818935,-0.14619338502746035,-0.9667263865470886,-1.0,-0.22804429531097412,0.2,-0.0333593487739563,0.0,0.0,0.0,-0.8875054717063904,-1.0,-1.0,-1.0
-125.97043696158254,-17.72431442333928,-358.7836046307817,-0.08190490621369456,0.04933497659074831,0.0381783353545585,-2.4912747712523924,0.41642917717797445,-41.56351996824253,0.12739641489265038,-0.07192165400497218,-0.058394031404327286,-0.9442274808883667,-1.0,-0.49479236006736754,-0.2,0.045990169048309326,0.0,0.0,0.0,-0.8919945359230042,-1.0,-1.0,-1.0
-126.00516563461268,-17.880182340028135,-359.1744643247816,-0.07947232514880109,0.050816757248774325,0.06057624110137104,-3.141395268291518,-2.471748112699345,-43.891102037425185,0.2252575405070747,-0.3232841101219359,-0.6243670691298728,-0.9226263880729675,-1.0,-0.7615404248237609,-0.6,-0.0044890642166137695,0.0,0.0,0.0,-0.9012879729270935,-1.0,-1.0,-1.0
-126.16323191813578,-17.9555520434583,-359.123933333393,-0.07749628964015778,0.041819871439167516,0.05782324750337514,-6.864613613601222,-3.5452415811738334,-36.672367800895245,-0.0027478704311177716,0.033316866865311504,-0.33615766324490126,-0.9028839826583862,-1.0,-1.0,-1.0,-0.009293437004089355,0.0,0.0,0.0,-0.8885999321937561,-1.0,-1.0,-1.0
-126.02312312113654,-17.933895792182753,-358.84684154287737,-0.07380392301288131,0.042665043297392714,0.051812082699877145,-2.5576676902370536,-7.084842231448896,-21.67090909422734,-0.4935386928856976,0.36892706480734516,0.04865658744211898,-0.9005767107009888,-1.0,-1.0,-1.0,0.012688040733337402,0.0,0.0,0.0,-0.8948854804039001,-1.0,-1.0,-1.0
-125.78953477478667,-19.05216006061272,-357.30955301907676,-0.05303908240112503,0.04613363527763737,0.05382642110338092,0.6055177692073528,-24.790670584252663,3.3201470705395195,-0.5282349868283778,-0.06319993517200703,-0.3973111336381756,-0.8928546786308289,-1.0,-1.0,-1.0,-0.006285548210144043,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
-125.87423840345942,-19.56692663878853,-356.40929070997856,-0.03142924322801044,0.05026631722445969,0.05808564420059712,-2.3540405003781757,-27.677922689180452,20.95012584757501,-0.562911814012183,-0.06925431509042032,-0.4468293718230436,-0.9153535842895508,-1.0,-1.0,-1.0,-0.10511451959609985,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
-125.6450607000678,-20.11659429872047,-354.94484760130206,-0.005548867349102158,0.04855821894958361,0.06722623994851344,1.1019970366959058,-35.142063447939805,43.040455848139004,-1.0573722739387468,-0.0390964125681121,-0.505357871181879,-0.93695467710495,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
-125.57422795307029,-20.66618410000312,-353.4192898296148,0.03313972498010536,0.036733610497476483,0.07603705334130242,1.1828583344631909,-40.69228348461511,65.49279060213951,-1.4024464849771001,0.039033697082096606,-0.6687691741959971,-0.9566970825195312,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
-125.31406550935523,-21.19899602387103,-351.6925790493763,0.062153403550714977,0.04275626912498103,0.0728863190806132,9.962297833731611,-46.23343344392093,91.24285908306342,-1.9248723765502203,0.15699804638668188,-0.4439021478733821,-0.97897709608078,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
-125.17467139934071,-21.559661884058556,-349.90520173093785,0.10353188756208434,0.022102673734583515,0.06764357473205364,10.177179368808169,-49.12337218988962,114.91994054475822,-2.488107915766924,0.44181852266820654,-0.4565138409194594,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
-125.06675237328307,-22.111356387255398,-347.80385936029955,0.1456882883009687,0.004109011002378518,0.0670970389015972,10.96007559116265,-54.5364738064892,149.35849974594566,-2.9667219788824033,0.7224362462076206,-0.05845239703199987,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
-124.97706335644875,-22.12270240757455,-345.42907935823564,0.19620432380531322,-0.0023281043404301156,0.06937655933493538,15.612809623245653,-49.94394298365662,180.24947845736529,-3.6096577741353784,0.5633273702626722,-0.11624987575776391,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
-124.57894813054263,-22.2123122153508,-343.4801104381985,0.22916515479809343,-0.033066810063299264,0.06314026052613958,21.12032132066281,-58.58824153525386,205.31831791917307,-3.9579829633589156,1.0724029227840508,-0.1106063714833971,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
-124.70024530613092,-22.120393912344955,-340.6839792038151,0.28548989158248717,-0.05706830952328225,0.07632957536335047,11.83546879830277,-39.3558958718066,221.6852470440292,-4.529955143548396,1.3576362426899993,-0.3747290787261971,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
-124.16125426595087,-21.815931077365597,-338.02942271436854,0.3268767992263277,-0.06947653888993945,0.07127372066297123,25.164822111532487,-28.45928221264031,245.27241353605876,-4.70327621058855,1.5216122392219893,-0.18276536383371184,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
-124.32100502099112,-21.5840524193083,-335.18666761315217,0.4060887963998821,-0.11153857656248355,0.10054587431746068,15.35516010066371,-19.515764306406055,263.30803709522047,-5.647055502004383,2.2444814228927132,-0.6283334147110374,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
-123.608337092508,-20.50287252969566,-332.89490280863316,0.46803695897009207,-0.14023882452439274,0.0625689066538485,29.427672559936696,5.249946638157908,270.4034977603245,-5.764537854724758,2.259734756268858,0.40838397179525554,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-0.2744963467121124,-1.0,-1.0,-1.0
-122.86703832748223,-19.251613335166702,-330.12250029043264,0.49010544840134934,-0.12112202070115483,0.10529983796008456,34.648483432717654,28.712152270500507,286.19962412715813,-5.516106378863372,1.9757602273165875,-0.6138913482997153,-0.8548992693424224,-1.0,-1.0,-1.0,0.7255036532878876,0.0,0.0,0.0,-0.079273521900177,-1.0,-1.0,-1.0
-122.01703725940247,-17.507083976534688,-326.8319440324243,0.542126177669093,-0.13515717042615263,0.10627585300268441,43.639130244083304,55.787944022897456,309.2304841540423,-5.828194261323872,2.0792910046720507,-0.4661642145204297,-0.6707539737224579,-1.0,-1.0,-1.0,0.19522282481193542,0.0,0.0,0.0,0.2486080825328827,-1.0,-1.0,-1.0
-121.11394044944748,-15.52712637769664,-324.1145497597375,0.6053697954786124,-0.1746138243234671,0.1311586490993651,53.390458046762795,90.82242958581848,314.8247608552493,-6.198736006014908,2.4200366393508856,-0.9317132215533279,-0.42103235721588134,-1.0,-1.0,-1.0,0.3278816044330597,0.0,0.0,0.0,0.8236742615699768,-1.0,-1.0,-1.0
-120.46256024011943,-13.132315759483545,-321.48380782276126,0.6571770712555598,-0.20547734412710272,0.17199482029503502,60.47101000735694,121.71584463971313,314.8215235677727,-6.040281610021325,2.8074042305991,-1.4390183658424407,-0.05629750490188599,-1.0,-1.0,-1.0,0.5750661790370941,0.0,0.0,0.0,0.9456122517585754,-1.0,-1.0,-1.0
-118.91575111200108,-10.328492099586395,-317.4060691932321,0.7224721845485286,-0.18909434890746463,0.16470811291988846,76.511435937679,159.9802931665908,354.13171412307196,-6.649403457469397,1.9180414915720536,-1.2542298734973727,0.3328249454498291,-1.0,-1.0,-1.0,0.12193799018859863,0.0,0.0,0.0,0.946435272693634,-1.0,-1.0,-1.0
-117.40686077045423,-6.943627539279635,-313.77675391781463,0.795787828549384,-0.2531134353326265,0.17425757064007036,99.8079027184817,204.25716084850055,360.58993402119006,-6.811790553470938,2.811105404463045,-1.2020975614394545,0.5770112693309783,-1.0,-1.0,-1.0,0.0008230209350585938,0.0,0.0,0.0,0.9465288519859314,-1.0,-1.0,-1.0
-116.18834796102729,-3.024526885313284,-309.00250855138484,0.8909378632858277,-0.2787020270713847,0.20394640731815483,102.02744798540314,250.40272617676965,394.0249727616814,-7.81490496017399,2.916609634645157,-1.9458381818576467,0.7821717441082001,-1.0,-1.0,-1.0,9.357929229736328e-05,0.0,0.0,0.0,0.9466053247451782,-1.0,-1.0,-1.0
-114.50057036505483,1.3102445278701236,-304.8765646496309,0.9371566777857097,-0.31076505028926815,0.19591599720885658,132.2478890179691,307.2272711829174,402.22748779989297,-7.0218164390504825,2.755297311800171,-0.8683972080592884,0.9217711925506592,-1.0,-1.0,-1.0,7.647275924682617e-05,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0
-111.6948320194031,5.855204961832054,-301.070458949771,0.9862639191637216,-0.32104087854612817,0.24139375990891873,164.2442835413238,351.07424766927795,421.3643756147079,-6.645777907179171,2.1165787948625576,-2.6751504030986326,0.9570363402366638,-1.0,-1.0,-1.0,0.05339467525482178,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0
-110.32869027909666,11.334431495223091,-296.3096803780028,1.1021101972009935,-0.3464723370631077,0.2936008121380059,163.75703343094403,410.3750733168158,454.0618479278178,-8.351259029425824,2.9410034457952987,-2.5787100937651775,0.9679138898849488,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0
-107.97853486838878,17.632156683634786,-290.6150655142947,1.1524665727926588,-0.3663264651405673,0.2967091865552599,187.98154201614156,471.3369846455322,485.0745970359245,-8.005684701889901,3.129896228421621,-2.4531470257145145,0.978626835346222,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0
-105.56882276624317,24.41209471322325,-285.4549239615384,1.2044699718205358,-0.40542068080132254,0.2899797265112912,204.90796606729367,534.319144977848,510.66081051678447,-7.812066164932029,3.18942869052061,-2.1104931958533206,0.9893210649490356,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0
-102.18062861507322,31.60097606287207,-279.2229535216702,1.2609647919181033,-0.4130444450892136,0.2815955734559876,248.9931991762844,596.7557319255432,568.9885060294768,-7.97619224829374,2.438249825954849,-1.2211838753487305,1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0
