X,Y,Z,Roll,Pitch,Yaw,Vx,Vy,Vz,Wx,Wy,Wz,Avg_m1,Avg_m2,Avg_m3,Avg_m4,Delta_m1,Delta_m2,Delta_m3,Delta_m4,Act_m1,Act_m2,Act_m3,Act_m4
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-18.71503747713001,-9.274441622735992,-16.19176733003915,-0.003853449965075551,0.02889899720187235,-0.03357418224524599,-336.8706745883402,-166.93994920924786,-309.45181194070466,0.06936209937135993,-0.5201819496337023,0.6043352804144279,0.2,0.2,0.2,0.2,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0
-18.558146789066633,-9.16643511882141,-16.171225170985633,-0.006790911952021466,0.03980700291140447,-0.019530090849376246,-221.75641734041932,-109.34918240236944,-205.9314490975065,0.09911571534593308,-0.5431320691940462,0.15009654181729648,0.0,0.0,0.4,0.4,-2.0,-2.0,0.0,0.0,-1.0,-1.0,1.0,1.0
-18.565709320586144,-9.182035320926424,-16.172304731541875,-0.0068414031835111865,0.04042118582834997,-0.01996512960747098,-222.83388703615083,-110.2780250637472,-206.07413414183992,0.08239978559107256,-0.4887393274418727,0.24219178783822018,-0.2,-0.2,0.6,0.6,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0
-18.727697782490388,-9.14052086159661,-16.038630463687518,-0.007857703262437465,0.032195368520637715,-0.027635523956347302,-225.70430416131012,-109.43716358318042,-203.66151995712409,0.10039023962280727,-0.33698951840137903,0.37764865356942556,-0.4,-0.4,0.8,0.8,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0
-18.75527765525768,-9.057721187733959,-15.92777472479315,-0.003642438441484093,0.027122610426348243,-0.029762165681420465,-225.2288110996959,-108.19585620963161,-202.46816226415154,0.018417672372088884,-0.2950347765504421,0.3699058385274846,-0.6,-0.6,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0
-18.685719665263118,-9.127176315146288,-16.082853981777365,-0.008752261414553484,0.031281797830635866,-0.031313000724115914,-223.81128804319005,-109.94284654622943,-205.92472332323368,0.13568607481305817,-0.4003366983933561,0.38506101894556366,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0
-18.77254548978919,-9.051405128041345,-15.929901704989703,-0.002296817289514087,0.02539844581957981,-0.03173834392193148,-225.79150082462678,-108.16223441386649,-202.24110679915046,-0.011170857276067347,-0.2694812377686214,0.3834121862500711,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0
-18.778562577657077,-9.126213505916724,-16.1048095304065,-0.0038189195985887684,0.027657179495388234,-0.035129817216543006,-225.37885345909223,-109.96341233825297,-206.30716131737873,0.054959649037513325,-0.34543855599950934,0.44190664636618526,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0
-18.77576085291099,-9.294667812199762,-15.988852843546532,-0.01011918099931274,0.026139487837790507,-0.03900405776818117,-337.5825447492354,-168.19338932051133,-306.32109798163344,0.18235244018655,-0.47796168731913385,0.692739229999479,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0
-18.88482312864547,-9.061498823638193,-16.258619841172603,0.0025801675649681295,0.013403201098660467,-0.04626247333195504,-1.7504573442120872,4.602366544030506,-2.2975791650367867,-0.1357747298245339,0.19691923941613015,0.11154543804793329,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3511180877685547,-1.0,-1.0,1.0
-18.659225493649963,-9.113543005154296,-16.066254624557896,-0.007473973887234056,0.032701403238741766,-0.028244579175752283,0.09526616585601033,0.22883906227864514,2.4073604934836297,0.06882453932470253,-0.03420711427020838,-0.000923272472135675,-0.7297763824462891,-1.0,0.6,1.0,1.3511180877685547,0.0,-2.0,0.0,0.5425477623939514,-1.0,-1.0,1.0
-18.659231892813143,-9.11703356467766,-16.08015062574887,-0.0073587111328311024,0.031837957043452186,-0.02877983830574474,-2.0942400331285214,1.008164473823868,1.8245188694963304,0.011613919338978932,0.15753432643678442,0.15501042525249778,-0.42126682996749876,-1.0,0.2,1.0,0.19142967462539673,0.0,0.0,0.0,0.4495092034339905,-1.0,-1.0,1.0
