KF_Variance,Success_Rate
1e-13,1.0
1.2045035402587835e-13,1.0
1.4508287784959373e-13,1.0
1.747528400007683e-13,1.0
2.104904144512022e-13,1.0
2.5353644939701166e-13,1.0
3.0538555088334123e-13,1.0
3.678379771828634e-13,0.99996
4.430621457583887e-13,1.0
5.336699231206301e-13,0.99998
6.42807311728432e-13,1.0
7.742636826811278e-13,1.0
9.32603346883218e-13,1.0
1.1233240329780266e-12,1.0
1.3530477745798075e-12,1.0
1.6297508346206468e-12,1.0
1.9630406500402686e-12,1.0
2.364489412645407e-12,1.0
2.848035868435805e-12,0.99998
3.430469286314926e-12,1.0
4.132012400115335e-12,1.0
4.9770235643321135e-12,1.0
5.994842503189421e-12,1.0
7.220809018385456e-12,1.0
8.697490026177835e-12,1.0
1.0476157527896662e-11,0.99998
1.2618568830660185e-11,1.0
1.519911082952933e-11,1.0
1.8307382802953698e-11,1.0
2.205130739903041e-11,0.99994
2.656087782946684e-11,0.99992
3.199267137797384e-11,0.99984
3.853528593710535e-11,0.99988
4.6415888336127916e-11,0.99966
5.5908101825122225e-11,0.9991
6.734150657750828e-11,0.99878
8.111308307896889e-11,0.99772
9.770099572992247e-11,0.99676
1.176811952434999e-10,0.99666
1.4174741629268076e-10,0.9951
1.7073526474706887e-10,0.99202
2.0565123083486515e-10,0.98436
2.477076355991714e-10,0.97744
2.983647240283334e-10,0.97252
3.593813663804626e-10,0.96012
4.3287612810830617e-10,0.95382
5.214008287999695e-10,0.93142
6.280291441834272e-10,0.92036
7.564633275546291e-10,0.91148
9.111627561154905e-10,0.903
1.097498765493059e-09,0.89316
1.3219411484660288e-09,0.88022
1.5922827933410938e-09,0.8687
1.9179102616724926e-09,0.85602
2.310129700083158e-09,0.84148
2.7825594022071257e-09,0.82812
3.351602650938848e-09,0.81128
4.0370172585965495e-09,0.79344
4.862601580065353e-09,0.77466
5.857020818056674e-09,0.7591
7.054802310718631e-09,0.73956
8.497534359086472e-09,0.72092
1.0235310218990269e-08,0.70096
1.2328467394420685e-08,0.68238
1.4849682622544666e-08,0.6614
1.7886495290574353e-08,0.64118
2.1544346900318866e-08,0.62046
2.5950242113997372e-08,0.60024
3.1257158496882415e-08,0.58442
3.7649358067924714e-08,0.5661
4.534878508128591e-08,0.55038
5.4622772176843485e-08,0.5385
6.579332246575682e-08,0.52994
7.924828983539185e-08,0.5227
9.545484566618347e-08,0.51738
1.149756995397738e-07,0.51276
1.3848863713938745e-07,0.5106
1.668100537200059e-07,0.50868
2.00923300256505e-07,0.50736
2.4201282647943835e-07,0.50562
2.9150530628251817e-07,0.50498
3.5111917342151345e-07,0.50414
4.2292428743895076e-07,0.50348
5.094138014816385e-07,0.50392
6.135907273413176e-07,0.50342
7.390722033525791e-07,0.50282
8.902150854450393e-07,0.50392
1.0722672220103253e-06,0.50352
1.2915496650148854e-06,0.50324
1.5556761439304754e-06,0.50398
1.873817422860387e-06,0.5038
2.2570197196339214e-06,0.5042
2.7185882427329457e-06,0.5042
3.2745491628777315e-06,0.50432
3.944206059437664e-06,0.50386
4.750810162102803e-06,0.50378
5.72236765935022e-06,0.50394
6.892612104349709e-06,0.50402
8.302175681319752e-06,0.50306
1e-05,0.50418
