KF_Variance,Success_Rate
1e-13,0.99996
1.2045035402587835e-13,0.99986
1.4508287784959373e-13,0.9999
1.747528400007683e-13,0.99994
2.104904144512022e-13,0.9999
2.5353644939701166e-13,0.99982
3.0538555088334123e-13,0.99992
3.678379771828634e-13,0.99994
4.430621457583887e-13,0.99986
5.336699231206301e-13,0.99994
6.42807311728432e-13,0.99998
7.742636826811278e-13,0.99994
9.32603346883218e-13,0.9998
1.1233240329780266e-12,0.9999
1.3530477745798075e-12,0.9999
1.6297508346206468e-12,0.99996
1.9630406500402686e-12,0.99996
2.364489412645407e-12,0.99992
2.848035868435805e-12,0.9998
3.430469286314926e-12,0.99988
4.132012400115335e-12,0.99992
4.9770235643321135e-12,0.9999
5.994842503189421e-12,0.99984
7.220809018385456e-12,0.99988
8.697490026177835e-12,0.99984
1.0476157527896662e-11,0.99986
1.2618568830660185e-11,0.99978
1.519911082952933e-11,0.99962
1.8307382802953698e-11,0.9998
2.205130739903041e-11,0.99976
2.656087782946684e-11,0.99954
3.199267137797384e-11,0.99944
3.853528593710535e-11,0.99922
4.6415888336127916e-11,0.99858
5.5908101825122225e-11,0.99862
6.734150657750828e-11,0.99772
8.111308307896889e-11,0.99642
9.770099572992247e-11,0.9946
1.176811952434999e-10,0.99338
1.4174741629268076e-10,0.98656
1.7073526474706887e-10,0.98428
2.0565123083486515e-10,0.97534
2.477076355991714e-10,0.9684
2.983647240283334e-10,0.96338
3.593813663804626e-10,0.9513
4.3287612810830617e-10,0.94606
5.214008287999695e-10,0.92614
6.280291441834272e-10,0.91888
7.564633275546291e-10,0.9026
9.111627561154905e-10,0.88826
1.097498765493059e-09,0.8762
1.3219411484660288e-09,0.86426
1.5922827933410938e-09,0.85268
1.9179102616724926e-09,0.8376
2.310129700083158e-09,0.8228
2.7825594022071257e-09,0.80664
3.351602650938848e-09,0.7882
4.0370172585965495e-09,0.77268
4.862601580065353e-09,0.75366
5.857020818056674e-09,0.73388
7.054802310718631e-09,0.7159
8.497534359086472e-09,0.69734
1.0235310218990269e-08,0.67934
1.2328467394420685e-08,0.66106
1.4849682622544666e-08,0.63894
1.7886495290574353e-08,0.62134
2.1544346900318866e-08,0.60334
2.5950242113997372e-08,0.58236
3.1257158496882415e-08,0.56652
3.7649358067924714e-08,0.55186
4.534878508128591e-08,0.54
5.4622772176843485e-08,0.5295
6.579332246575682e-08,0.52226
7.924828983539185e-08,0.51612
9.545484566618347e-08,0.5133
1.149756995397738e-07,0.50906
1.3848863713938745e-07,0.50786
1.668100537200059e-07,0.50658
2.00923300256505e-07,0.50594
2.4201282647943835e-07,0.50594
2.9150530628251817e-07,0.505
3.5111917342151345e-07,0.5052
4.2292428743895076e-07,0.50538
5.094138014816385e-07,0.50542
6.135907273413176e-07,0.50492
7.390722033525791e-07,0.50534
8.902150854450393e-07,0.50608
1.0722672220103253e-06,0.50516
1.2915496650148854e-06,0.50608
1.5556761439304754e-06,0.50638
1.873817422860387e-06,0.50636
2.2570197196339214e-06,0.50646
2.7185882427329457e-06,0.50684
3.2745491628777315e-06,0.507
3.944206059437664e-06,0.50796
4.750810162102803e-06,0.508
5.72236765935022e-06,0.50818
6.892612104349709e-06,0.50792
8.302175681319752e-06,0.5084
1e-05,0.50834
