X,Y,Z,Roll,Pitch,Yaw,Vx,Vy,Vz,Wx,Wy,Wz,Avg_m1,Avg_m2,Avg_m3,Avg_m4,Delta_m1,Delta_m2,Delta_m3,Delta_m4,Act_m1,Act_m2,Act_m3,Act_m4
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.15696091949939728
-57.924294684913235,-16.89836818613247,-331.99371483248643,-0.07244906781034345,0.06265639862507823,0.0378248935924253,-1042.6373043284382,-304.17062735038445,-5993.886866984756,1.304083220586182,-1.127815175251408,-0.6808480846636555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8965816497802734,0.0,0.2911141514778137
-57.7620139464686,-16.901923762434112,-332.0665242528065,-0.07166421638565658,0.06281975199997746,0.03165843045888014,-692.1704829269554,-202.8444186070192,-3997.235147555599,0.8552614880797578,-0.7548171442491249,-0.34290238670529066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.851060152053833,0.0,0.25619882345199585
-57.78182166620307,-16.886629020195013,-331.91844448531344,-0.0710880066963314,0.05807275697144326,0.031504323580046366,-693.5007063128437,-202.54777978890553,-3994.1328552188024,0.849598822220026,-0.668391113486114,-0.3771272416875538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8511786460876465,0.0,0.2641645073890686
-57.88139203217388,-16.917743585963372,-331.9799613181369,-0.07686708971177167,0.06703048766482558,0.044393260911104744,-695.1741265819113,-203.1996104261706,-3996.1286368145825,0.9570795746339016,-0.858112236138201,-0.6100527549196072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8518221378326416,0.0,0.264560341835022
-57.882276207801624,-16.858850613242883,-331.82452155235,-0.06650218884540182,0.05618966840708224,0.03960244860088058,-694.592619547386,-201.95284952259163,-3992.9616200334785,0.735836860946603,-0.6092311053385269,-0.44648450934922196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8511315584182739,0.0,0.26541078090667725
-57.9356332033814,-16.871312731733614,-331.9550688924636,-0.07578641602079753,0.06511484362328718,0.042985581649887604,-695.5477404140554,-202.53052549174774,-3996.244110750244,0.9651423553019447,-0.8349291747766758,-0.5361257780926934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8516461849212646,0.0,0.2649022936820984
-58.010866939663,-16.97908242354869,-331.8541035053556,-0.07422629938194117,0.07353150767039822,0.05145042075181704,-696.5818056936457,-204.3956072334747,-3993.6434497416194,0.8813548927501561,-0.932878076327445,-0.6681940836333812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8543286323547363,0.0,0.2621280550956726
-57.92146628314408,-16.851106096679942,-331.9789236003004,-0.06552223832014908,0.0663182304907593,0.04369949862354563,-694.5211914586154,-201.44541519894682,-3996.496003773273,0.7340424934710367,-0.752539102811278,-0.4778884507129191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8508374691009521,0.0,0.26573383808135986
-58.11188331971032,-16.8296316156706,-331.8367838882789,-0.0814653753616893,0.07374243212956619,0.049988539867817615,-1046.0308701654008,-303.21694161878594,-5991.150857382137,1.5079377334515738,-1.3053927871381048,-0.8645460874339952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9543970823287964,0.0,0.27727460861206055
-58.16958297952579,-16.748230414747557,-331.9236948821166,-0.08001045055856429,0.07380264509453606,0.04870793360744999,-2.315973063575683,2.2687270043473475,-0.11808308050865435,0.07729793561177878,-0.13509635567270858,-0.0859140638168195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-58.32358395715732,-16.897466719352042,-331.8318856671195,-0.08153527766012847,0.07743974660758343,0.04845739913688061,-7.7816923124606205,-0.7501648572074799,4.254996923185558,0.12414443976709673,-0.16878057419835085,-0.19915977603958676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2261013984680176e-05
-58.195386013257256,-16.736246300908753,-331.7646964796562,-0.07745794374558294,0.07256786901690405,0.048709959248176185,-4.791006697074664,2.5852277474846943,1.8790101957258685,0.0866497391963869,-0.1984564631617472,-0.28531661267168157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
