X,Y,Z,Roll,Pitch,Yaw,Vx,Vy,Vz,Wx,Wy,Wz,Avg_m1,Avg_m2,Avg_m3,Avg_m4,Delta_m1,Delta_m2,Delta_m3,Delta_m4,Act_m1,Act_m2,Act_m3,Act_m4
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
-15.618531315093557,-8.675712592275758,-15.999696145897524,-0.010978673181476238,0.0382348990487517,0.026321328990350622,-281.13356367168404,-156.16282666096367,-305.9945306261554,0.1976161172665723,-0.6882281828775307,-0.4737839218263112,0.2,0.2,0.2,0.2,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0
-15.697998637090382,-8.689471393111722,-16.015708347097764,-0.006921193831261162,0.03156528928805371,0.020301947137937343,-188.85278757706553,-104.35620952235645,-204.2845733723746,0.05870944987384349,-0.33876581289245655,-0.20750707454076847,0.0,0.0,0.4,0.4,-2.0,-2.0,0.0,0.0,-1.0,-1.0,1.0,1.0
-15.570280052549586,-8.653964065612417,-16.006434324294915,-0.01185020543784937,0.04244726969144792,0.030757453325933284,-186.07704912335026,-103.63452482235319,-204.02156775472187,0.1717765348937217,-0.5746591187177404,-0.4318224770391751,-0.2,-0.2,0.6,0.6,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0
-15.607501274606047,-8.678426187773326,-16.029152515645396,-0.011489261921366465,0.03882738696441643,0.0263459801000921,-187.51334262761134,-104.28788698624537,-204.48613933584764,0.13570548195750015,-0.44420934721080824,-0.2896829218460581,-0.4,-0.4,0.8,0.8,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0
-15.513350593628582,-8.686877360524289,-16.14214537838509,-0.010538574819481032,0.046196788811717494,0.03492900853057586,-185.5953030376782,-104.29323536279726,-206.3837017170593,0.12075877522245977,-0.5985778768244164,-0.47064627294981287,-0.6,-0.6,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0
-15.558691000547633,-8.590947074669586,-15.992186861044061,-0.013211252242392823,0.04022119936195298,0.028598013097701873,-186.97633444808588,-102.51578318090681,-203.00649122848256,0.1745710914461846,-0.44680085564484867,-0.3051901845751786,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0
-15.454002297519837,-8.657447883971612,-16.019183005891733,-0.006202483051780945,0.041469523581535814,0.028491581157152942,-184.81989535207128,-104.2883794634715,-204.39217293978683,0.03237718147770006,-0.5051242282959267,-0.34126038224254174,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0
-15.60333616874921,-8.639009037770684,-16.020701362719972,-0.011906764148320018,0.03923511798561395,0.029069824091601238,-188.13603725236675,-103.55747537604266,-204.2575264936091,0.1771068563590746,-0.4574149822518363,-0.3523073467059047,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0
-15.60054076511514,-8.700796983088464,-16.031543585501137,-0.012903439746965388,0.04026010114760104,0.02829422841086361,-280.9009046501386,-156.83456702262282,-306.44175323808577,0.2266933696443143,-0.7186805070356452,-0.4928051407880414,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0
-15.585527857253684,-8.66346538801363,-16.01877341824312,-0.012927862460989743,0.04146639235542138,0.028193523757742315,0.009315009266266827,0.28840321657875023,-0.24837947180052566,-0.0008080684629822643,-0.005998008362770191,0.014254181824507139,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.17497476935386658,-1.0,-1.0,1.0
-15.697187530411991,-8.752116682147458,-16.015495708583757,-0.013545923538987,0.044217163694273004,0.023931302233620715,0.10608674843562582,-1.0706072682359604,0.07786205694137038,0.11277919260022284,-0.23361900332810656,-0.08071196913144653,-0.7650050461292267,-1.0,0.6,1.0,1.1749747693538666,0.0,-2.0,0.0,0.16927359998226166,-1.0,-1.0,1.0
-15.634243722219022,-8.65373540985832,-16.045865359747218,-0.013165172604587829,0.04091868496022355,0.028918951741962625,-0.6132285192141786,0.44625876981852386,-0.7916994805112907,0.011329439295569036,0.05985318554117817,0.01860496131264357,-0.5311503261327744,-1.0,0.2,1.0,-0.005701169371604919,0.0,0.0,0.0,0.1589498668909073,-1.0,-1.0,1.0
-15.587771677630414,-8.632746528387006,-16.029629089667527,-0.010605559104333409,0.04133833585951272,0.031435150125686144,1.08049151710404,0.6233821649579454,-0.5862584442255852,-0.03166623741723579,-0.07686570322069697,-0.1276654011923722,-0.2993603527545929,-1.0,-0.2,1.0,-0.01032373309135437,0.0,0.0,0.0,0.45675644278526306,-1.0,-1.0,1.0
-15.585304335863158,-8.705843996641589,-16.06437738568012,-0.013938659410857233,0.0403806131145899,0.027956204829574033,-1.1206832977256909,-0.09060272780687839,1.6244772404302594,0.0768356814731281,0.1113939815336551,0.14253328878593852,-0.008009064197540283,-1.0,-0.6,1.0,0.2978065758943558,0.0,0.0,0.0,0.1831427365541458,-1.0,-1.0,1.0
-15.728598480005598,-8.617312884093234,-16.217838217864607,-0.026429316354438792,0.050601350521997324,0.041771771753318025,-2.270522400183445,-0.1842078936058087,-3.790558144039494,0.1915080958623697,-0.19337618368247367,-0.24033991376656422,0.2286194831132889,-1.0,-1.0,1.0,-0.27361370623111725,0.0,0.0,0.0,-0.21697834134101868,-1.0,-1.0,1.0
-15.523539545094051,-8.770100939221741,-16.199164621358662,-0.011829608706810157,0.04513313456484495,0.034976704641705846,-0.500096588797529,-2.1579319165670334,-2.056847947536909,0.01415294855381315,0.0022523975187358353,-0.04052053675165154,0.15022886097431182,-1.0,-1.0,1.0,-0.4001210778951645,0.0,0.0,0.0,-0.015727918595075607,-1.0,-1.0,1.0
-15.694542288984447,-8.643364021677357,-16.151641929759137,-0.030797022942672985,0.053521835549492094,0.04985103685974092,-2.1037174843607893,0.3374340264795528,-1.3512039915598137,0.34646764453928475,-0.2279227156463432,-0.33396697244146084,0.11322855725884437,-1.0,-1.0,1.0,0.20125042274594307,0.0,0.0,0.0,-0.07156722247600555,-1.0,-1.0,1.0
-15.71873133468063,-8.822608495875738,-16.080512340668236,-0.01648384754333844,0.04614355144129284,0.03647752834979311,-1.4733436617942424,-2.3132154281885597,-0.08422652391168839,-0.04276762255538453,-0.03356944612202807,-0.017354320288739414,0.0671251393854618,-1.0,-1.0,1.0,-0.05583930388092995,0.0,0.0,0.0,-0.19270393252372742,-1.0,-1.0,1.0
-15.541206555906523,-8.623192574967012,-16.222466105999676,-0.028096731315780558,0.04884755827537998,0.03398196004496969,0.927046249860723,1.1478615172088098,-3.276368587111101,0.255412095360126,-0.12130266007713586,-0.028914496473058403,-0.06276693567633629,-1.0,-1.0,1.0,-0.12113671004772186,0.0,0.0,0.0,0.4912665784358978,-1.0,-1.0,1.0
-15.572144035055679,-8.612869257803752,-16.220882985309192,-0.02284850256465321,0.028709804632163622,0.019342675362503368,1.6925599185386275,2.3231966288388577,-2.6373665035430918,0.07785707019483538,0.32670570300890744,0.11297333349815461,-0.0011421672999858857,-1.0,-1.0,1.0,0.6839705109596252,0.0,0.0,0.0,0.7249204516410828,-1.0,-1.0,1.0
-15.643288802386625,-8.40767177491188,-16.360017718255463,-0.040285676479184296,0.04963855116685382,0.04514159972611061,-0.2565772984652597,4.3098818055364205,-4.507219079298423,0.41471140898081754,-0.23272877908343936,-0.36456251229376024,0.1872375912964344,-1.0,-1.0,1.0,0.23365387320518494,0.0,0.0,0.0,0.37590521574020386,-1.0,-1.0,1.0
-16.00624297542654,-8.5352659519631,-16.39435885152475,-0.046350097911056744,0.06292665491352385,0.06163659648224663,-7.184576561189497,-0.03438295474793307,-4.791293717977965,0.4853195961110576,-0.33304211465861694,-0.4405136650388693,0.2655642181634903,-1.0,-1.0,1.0,-0.3490152359008789,0.0,0.0,0.0,-0.6301966309547424,-1.0,-1.0,1.0
-15.817770404033531,-8.537571938446627,-16.150279303471255,-0.020127811111506574,0.03707680523275372,0.04318752782513665,-2.5185222545410504,2.5366154547285014,-0.48711071827954555,-0.008119958728019561,0.13342036822221043,-0.15497486554655543,0.15383833646774292,-1.0,-1.0,1.0,-1.0061018466949463,0.0,0.0,0.0,0.09914723038673401,-1.0,-1.0,1.0
-15.896319783627742,-8.724994523000577,-16.354178149369094,-0.021713875365714376,0.04975258110083741,0.05506110111933657,-1.2535983115617206,-3.333443504982853,-2.7474306744052157,-0.134667152225218,-0.03306012641166892,-0.18994298948774896,0.2122085690498352,-1.0,-1.0,1.0,0.7293438613414764,0.0,0.0,0.0,-0.381112664937973,-1.0,-1.0,1.0
-15.945318656551606,-8.64330313273783,-16.43603140840942,-0.019048645542423723,0.04513072541207861,0.056713860274779,-6.381359038376221,2.772143524649742,-3.0483848492538996,0.1844415485027958,-0.022572161942134062,-0.3600084158377429,0.037732720375061035,-1.0,-1.0,1.0,-0.48025989532470703,0.0,0.0,0.0,-0.20741663873195648,-1.0,-1.0,1.0
-15.971480427213084,-8.577073715550352,-16.495309227321872,-0.016526187907042113,0.044001527391001514,0.05773633822075301,-3.6253625568896055,0.11739333145863995,-4.052896949682129,-0.2722638186358674,0.16528859067754503,-0.020517432948302328,-0.1487346976995468,-1.0,-1.0,1.0,0.17369602620601654,0.0,0.0,0.0,-0.3282463252544403,-1.0,-1.0,1.0
